hour,day,current_count,event,previous_count,crowd
14,1,245,1,237,540
11,5,224,1,208,469
15,4,98,1,249,265
12,6,143,0,274,374
14,0,237,0,255,485
17,0,23,1,45,152
10,2,109,0,91,130
14,6,123,1,280,448
15,3,138,0,273,257
12,5,152,1,290,491
11,2,115,0,142,177
15,3,162,1,163,371
15,1,47,1,276,229
10,5,297,1,163,452
13,1,252,1,278,578
12,6,36,0,66,164
9,4,78,1,32,208
15,5,109,0,227,196
13,3,218,0,254,438
9,4,45,1,168,220
12,0,44,0,174,195
8,3,286,0,185,414
17,2,200,0,109,280
13,0,87,1,205,371
16,0,68,0,193,144
8,2,194,0,236,309
17,5,71,1,283,285
10,0,121,1,116,254
14,6,235,0,136,409
11,3,207,1,218,440
16,4,76,0,40,117
10,0,66,0,219,202
12,3,178,0,267,436
10,1,193,1,295,404
14,3,261,0,283,528
12,4,260,1,77,502
16,3,24,1,50,96
14,2,103,0,268,322
9,4,267,1,112,465
11,5,73,1,284,287
16,1,180,1,290,384
9,2,245,1,113,410
17,5,34,1,173,187
16,3,243,0,99,297
17,4,80,1,103,231
12,1,141,0,56,287
9,2,296,0,251,428
11,5,65,0,112,94
14,5,81,0,121,268
15,1,105,0,185,192
10,6,229,0,178,370
8,3,97,1,33,241
11,1,221,1,244,463
9,5,242,1,92,397
15,0,241,0,268,346
11,2,22,1,110,157
9,1,25,1,235,246
13,6,112,1,109,357
13,5,27,0,48,112
17,3,254,1,239,467
11,5,127,0,234,242
13,3,180,1,240,470
9,1,228,0,61,247
17,3,259,0,154,370
9,4,69,0,61,92
17,4,30,1,183,225
11,4,175,1,77,323
15,6,89,0,44,134
14,6,188,1,92,440
16,0,291,0,148,410
15,6,87,0,106,114
12,1,271,1,172,553
9,5,67,1,201,263
12,5,203,1,144,485
15,0,206,0,86,274
17,6,109,0,25,151
16,3,158,1,144,337
16,0,108,0,72,198
8,3,293,1,85,469
16,3,38,0,101,65
14,2,173,1,106,428
16,5,279,1,21,435
15,4,127,0,223,262
8,6,78,1,169,209
15,3,144,1,122,307
15,2,292,0,43,350
10,5,126,1,231,312
8,4,264,0,84,367
15,3,266,1,228,505
10,3,27,0,270,127
10,0,160,1,136,323
8,0,27,1,135,156
